subject,course_code,course_title,weekdays,time,location
AECH,111,General Chemistry 2.,F,02:35 pm-05:25 pm,MACSTW B-031
AECH,111,General Chemistry 2.,M,10:35 am-11:25 am,RAYMND 2-045
AEMA,102,Calculus 2.,TR,11:35 am-12:55 pm,RAYMND 2-045
AEMA,102,Calculus 2.,F,12:35 pm-02:25 pm,MACSTW B-016
AEMA,305,Differential Equations.,TR,11:35 am-12:55 pm,CENTEN 1-150
AEMA,305,Differential Equations.,W,01:05 pm-01:55 pm,CENTEN 1-150
AEMA,310,Statistical Methods 1.,TR,11:35 am-12:55 pm,RAYMND 2-046
AEMA,310,Statistical Methods 1.,W,02:35 pm-04:25 pm,MACSTW 2-028
AEMA,310,Statistical Methods 1.,F,11:35 am-01:25 pm,MACSTW 2-028
AEMA,310,Statistical Methods 1.,M,01:35 pm-03:25 pm,MACSTW 2-028
AEMA,310,Statistical Methods 1.,F,03:35 pm-05:25 pm,MACSTW 2-028
AEMA,411,Experimental Designs 01.,TR,11:35 am-12:55 pm,RAYMND 3-045
AEPH,114,Introductory Physics 2.,MW,08:35 am-09:55 am,RAYMND 2-045
AEPH,114,Introductory Physics 2.,W,02:35 pm-04:25 pm,MACSTW B-016
AEPH,114,Introductory Physics 2.,W,04:35 pm-06:25 pm,MACSTW B-016
AEPH,114,Introductory Physics 2.,R,02:35 pm-04:25 pm,MACSTW B-016
AEPH,114,Introductory Physics 2.,F,08:35 am-09:25 am,RAYMND 2-045
AEPH,114,Introductory Physics 2.,F,08:35 am-09:25 am,MACSTW B-016
AEPH,114,Introductory Physics 2.,R,04:35 pm-06:25 pm,MACSTW B-016
AEPH,115,Physics 2.,MW,08:35 am-09:55 am,RAYMND 2-045
AEPH,115,Physics 2.,R,02:35 pm-04:25 pm,MACSTW B-016
AEPH,115,Physics 2.,F,11:35 am-12:25 pm,MACSTW B-016
AERO,410,Aerospace Design and Certification Process.,W,05:35 pm-08:25 pm,ENGTR 1100
AGEC,201,Principles of Macroeconomics.,WF,08:35 am-09:55 am,RAYMND 4-047
AGEC,231,Economic Systems of Agriculture.,TR,02:35 pm-03:55 pm,CENTEN 212
AGEC,320,Intermediate Microeconomic Theory.,TR,04:05 pm-05:25 pm,CENTEN 1-163
AGEC,430,"Agriculture, Food and Resource Policy.",R,02:35 pm-05:25 pm,BARTON 1-015
AGEC,442,Economics of International Agricultural Development.,TR,11:35 am-12:55 pm,BARTON 1-015
AGEC,633,Environmental and Natural Resource Economics.,WF,02:35 pm-03:55 pm,RAYMND 2-046
AGRI,196,Freshman Seminar 2.,T,10:05 am-11:25 am,RAYMND 2-045
AGRI,330,Agricultural Legislation.,W,04:05 pm-04:55 pm,BARTON 1-015
AGRI,340,Principles of Ecological Agriculture.,MW,01:05 pm-02:25 pm,RAYMND 3-048
AGRI,340,Principles of Ecological Agriculture.,F,03:35 pm-05:25 pm,CENTEN 1-150
AGRI,411,"Global Issues on Development, Food and Agriculture.",MW,09:35 am-11:25 am,RAYMND 4-045
AGRI,430,Professional Practice in Agrology.,WF,12:05 pm-12:55 pm,RAYMND 4-045
AGRI,493,International Project Management.,W,02:35 pm-05:25 pm,BARTON 1-016
ANAT,212,Molecular Mechanisms of Cell Function.,MWF,10:35 am-11:25 am,MCMED 522
ANAT,262,Introductory Molecular and Cell Biology.,TR,04:05 pm-05:25 pm,SADB M-1
ANAT,314,Human Musculoskeletal Anatomy .,WF,03:35 pm-04:25 pm,SADB 1/12
ANAT,314,Human Musculoskeletal Anatomy .,W,10:35 am-12:25 pm,SADB 2/49
ANAT,314,Human Musculoskeletal Anatomy .,M,06:05 pm-08:55 pm,ENGMC 204
ANAT,314,Human Musculoskeletal Anatomy .,M,06:05 pm-08:55 pm,ENGMC 204
ANAT,316,Clinical Human Visceral Anatomy .,TR,11:35 am-12:25 pm,MDHAR G-10
ANAT,316,Clinical Human Visceral Anatomy .,M,09:35 am-11:25 am,SADB 2/49
ANAT,316,Clinical Human Visceral Anatomy .,F,09:35 am-11:25 am,SADB 2/49
ANAT,322,Neuroendocrinology.,TR,04:05 pm-05:25 pm,SADB 2/36
ANAT,322,Neuroendocrinology.,T,06:00 pm-08:00 pm,SADB M-1
ANAT,416,"Development, Disease and Regeneration.",MW,10:05 am-11:25 am,MCMED 1034
ANAT,458,Membranes and Cellular Signaling.,MWF,08:35 am-09:25 am,MCMED 1034
ANAT,514,Advanced Human Anatomy Laboratory.,M,11:35 am-12:25 pm,MCMED 908
ANAT,514,Advanced Human Anatomy Laboratory.,TR,09:35 am-11:25 am,SADB 2/49
ANAT,541,Cell and Molecular Biology of Aging.,M,02:35 pm-05:25 pm,EDUC 431
ANAT,542,Transmission Electron Microscopy of Biological Samples.,TR,11:35 am-12:25 pm,STBIO N5/1
ANAT,542,Transmission Electron Microscopy of Biological Samples.,M,02:35 pm-05:25 pm,SADB B/32
ANAT,565,Diseases-Membrane Trafficking.,F,02:35 pm-05:25 pm,FERR 105
ANSC,234,Biochemistry 2.,WF,08:35 am-09:55 am,RAYMND 2-046
ANSC,234,Biochemistry 2.,W,02:35 pm-05:25 pm,MACSTW B-031
ANSC,234,Biochemistry 2.,W,06:05 pm-08:55 pm,MACSTW B-031
ANSC,251,Comparative Anatomy.,M,02:35 pm-05:25 pm,BARTON 1-016
ANSC,251,Comparative Anatomy.,R,02:35 pm-05:25 pm,MACSTW B-063
ANSC,301,Principles of Animal Breeding.,TR,08:35 am-09:55 am,BARTON 1-016
ANSC,301,Principles of Animal Breeding.,M,10:35 am-12:25 pm,CENTEN 212
ANSC,312,Animal Health and Disease.,TR,11:35 am-12:55 pm,RAYMND 4-047
ANSC,312,Animal Health and Disease.,T,03:05 pm-04:55 pm,CENTEN 1-162
ANSC,324,Developmental Biology and Reproduction.,WF,10:05 am-11:25 am,RAYMND 4-047
ANSC,324,Developmental Biology and Reproduction.,F,01:05 pm-03:55 pm,MACSTW B-032
ANSC,350,Food-Borne Pathogens.,WF,11:35 am-12:55 pm,BARTON 1-015
ANSC,400,Eukaryotic Cells and Viruses.,WF,04:05 pm-05:25 pm,RAYMND 4-045
ANSC,424,Metabolic Endocrinology.,TR,08:35 am-09:55 am,RAYMND 2-046
ANSC,424,Metabolic Endocrinology.,W,03:35 pm-05:25 pm,RAYMND 2-045
ANSC,433,Animal Nutrition and Metabolism.,TR,11:35 am-12:55 pm,RAYMND 4-046/048
ANSC,433,Animal Nutrition and Metabolism.,M,03:35 pm-05:25 pm,MACSTW 2-028
ANSC,451,Dairy and Beef Production Management.,MW,01:05 pm-02:25 pm,RAYMND 2-046
ANSC,451,Dairy and Beef Production Management.,F,08:35 am-11:25 am,BARTON 1-016
ANSC,555,The Use and Welfare of Animals.,WF,02:35 pm-03:55 pm,RAYMND 4-046/048
ANSC,555,The Use and Welfare of Animals.,T,03:35 pm-05:25 pm,RAYMND 2-046
ANSC,600,Advanced Eukaryotic Cells and Viruses.,WF,04:05 pm-05:25 pm,RAYMND 4-045
ANSC,695,MSc General Topic Seminar.,R,10:05 am-11:25 am,RAYMND 3-045
ANSC,696,MSc Research Proposal Seminar.,R,10:05 am-11:25 am,RAYMND 3-045
ANSC,797,Animal Science Seminar 3.,R,10:05 am-11:25 am,RAYMND 3-045
ANTH,209,Anthropology of Religion.,MWF,09:35 am-10:25 am,SADB M-1
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SADB M-1
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SADB M-1
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SADB M-1
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SADB M-1
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SADB M-1
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SADB M-1
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SADB M-1
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SADB M-1
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SADB M-1
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SADB M-1
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 295
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 295
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 295
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 295
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 295
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 295
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 295
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 295
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 295
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 295
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1085
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1085
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1085
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1085
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1085
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1085
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1085
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1085
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1085
ANTH,209,Anthropology of Religion.,F,09:35 am-10:25 am,SH688 1085
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 491
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,F,10:35 am-11:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,R,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,R,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,R,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,R,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,R,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,R,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,R,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,R,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,R,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,R,09:35 am-10:25 am,SH688 1371
ANTH,209,Anthropology of Religion.,R,02:35 pm-03:25 pm,EDUC 613
ANTH,209,Anthropology of Religion.,R,02:35 pm-03:25 pm,EDUC 613
ANTH,209,Anthropology of Religion.,R,02:35 pm-03:25 pm,EDUC 613
ANTH,209,Anthropology of Religion.,R,02:35 pm-03:25 pm,EDUC 613
ANTH,209,Anthropology of Religion.,R,02:35 pm-03:25 pm,EDUC 613
ANTH,209,Anthropology of Religion.,R,02:35 pm-03:25 pm,EDUC 613
ANTH,209,Anthropology of Religion.,R,02:35 pm-03:25 pm,EDUC 613
ANTH,209,Anthropology of Religion.,R,02:35 pm-03:25 pm,EDUC 613
ANTH,209,Anthropology of Religion.,R,02:35 pm-03:25 pm,EDUC 613
ANTH,209,Anthropology of Religion.,R,02:35 pm-03:25 pm,EDUC 613
ANTH,210,Archaeology of Early Cities.,TR,01:05 pm-02:25 pm,MDHAR G-10
ANTH,212,Anthropology of Development.,MWF,08:35 am-09:25 am,MDHAR G-10
ANTH,214,"Violence, Warfare, Culture.",MW,02:35 pm-03:55 pm,MDHAR G-10
ANTH,308,Political Anthropology 01.,MW,04:05 pm-05:25 pm,RPHYS 118
ANTH,314,Psychological Anthropology 01.,TR,11:35 am-12:55 pm,RPHYS 118
ANTH,322,Social Change in Modern Africa.,TR,04:05 pm-05:25 pm,ENGMC 11
ANTH,322,Social Change in Modern Africa.,R,04:05 pm-04:55 pm,SH688 1041
ANTH,322,Social Change in Modern Africa.,R,04:05 pm-04:55 pm,SH688 1041
ANTH,326,Anthropology of Latin America.,MW,10:05 am-11:25 am,WONG 1020
ANTH,327,Anthropology of South Asia.,TR,04:05 pm-05:25 pm,MAASS 217
ANTH,332,Mesoamerican Archaeology.,TR,11:35 am-12:55 pm,ENGTR 1100
ANTH,339,Ecological Anthropology.,MW,04:05 pm-05:25 pm,ENGMC 304
ANTH,343,Anthropology and the Animal.,TR,08:35 am-09:55 am,LEA 232
ANTH,355,Theories of Culture and Society.,TR,02:35 pm-03:55 pm,RPHYS 118
ANTH,359,History of Archaeological Theory.,TR,01:05 pm-02:25 pm,LEA 212
ANTH,380,"Topic: Sex, Science & Culture",M,02:35 pm-05:25 pm,FERR 476
ANTH,381,Topic: Bioarchaeology,TR,10:05 am-11:25 am,SH688 491
ANTH,407,Anthropology of the Body.,R,02:35 pm-05:25 pm,PL3647 102
ANTH,413,Gender in Archaeology.,T,02:35 pm-05:25 pm,FERR 230
ANTH,423,"Mind, Brain and Psychopathology.",F,02:35 pm-05:25 pm,WONG 1050
ANTH,438,Topic: Medicalization of Crime,R,11:35 am-02:25 pm,LEA 834
ANTH,480,Topic: Andean Archaeology,MW,02:35 pm-03:55 pm,LEA 819
ANTH,481,Topic:AnthGenomics-Resr&Ethics,MW,02:35 pm-03:55 pm,LEA 638
ANTH,512,Political Ecology.,W,02:35 pm-05:25 pm,ARTS W-220
ANTH,540,Topic: Territories of Life,T,08:35 am-11:25 am,LEA 819
ANTH,555,Advanced Topics in Ethnology.,M,02:35 pm-05:25 pm,LEA 617
ANTH,575,Concepts of Race.,F,11:35 am-02:25 pm,LEA 834
ANTH,603,Theory 2.,T,02:35 pm-05:25 pm,LEA 834
ANTH,609D2,Proseminar in Anthropology.,M,12:35 pm-02:25 pm,LEA 917
ANTH,611,Research Design.,R,02:35 pm-05:25 pm,LEA 834
ANTH,615,Seminar in Medical Anthropology.,R,08:35 am-11:25 am,PL3647 101
ARCH,202,Architectural Graphics and Elements of Design.,TR,10:35 am-11:25 am,MDHAR 212
ARCH,202,Architectural Graphics and Elements of Design.,TR,01:35 pm-05:25 pm,MDHAR 115
ARCH,202,Architectural Graphics and Elements of Design.,T,11:35 am-12:25 pm,MDHAR 115
ARCH,241,Architectural Structures 1.,M,11:35 am-01:25 pm,MDHAR 212
ARCH,241,Architectural Structures 1.,W,11:35 am-12:25 pm,MDHAR 212
ARCH,241,Architectural Structures 1.,W,12:35 pm-01:25 pm,MDHAR 212
ARCH,251,Architectural History 2.,M,08:35 am-10:25 am,MDHAR 212
ARCH,251,Architectural History 2.,W,09:35 am-10:25 am,MDHAR G-01
ARCH,251,Architectural History 2.,W,08:35 am-09:25 am,MDHAR G-01
ARCH,251,Architectural History 2.,M,08:35 am-10:25 am,MDHAR 212
ARCH,251,Architectural History 2.,W,09:35 am-10:25 am,MDHAR G-01
ARCH,251,Architectural History 2.,W,08:35 am-09:25 am,MDHAR G-01
ARCH,304,Design and Construction 2.,TR,01:05 pm-01:55 pm,MDHAR 207
ARCH,304,Design and Construction 2.,TR,11:35 am-12:25 pm,MDHAR 207
ARCH,304,Design and Construction 2.,TR,10:05 am-11:55 am,MDHAR 214
ARCH,304,Design and Construction 2.,TR,02:05 pm-04:55 pm,MDHAR 214
ARCH,304,Design and Construction 2.,TR,09:35 am-11:25 am,MDHAR 214
ARCH,304,Design and Construction 2.,TR,02:05 pm-04:55 pm,MDHAR 214
ARCH,342,Digital Representation.,T,08:35 am-10:25 am,MDHAR 212
ARCH,342,Digital Representation.,R,08:35 am-09:25 am,MDHAR 212
ARCH,355,Architectural History 4.,M,02:35 pm-04:25 pm,MDHAR 212
ARCH,355,Architectural History 4.,W,09:35 am-10:25 am,MDHAR 212
ARCH,355,Architectural History 4.,W,10:35 am-11:25 am,MDHAR 212
ARCH,406,Design and Construction 4.,TR,03:35 pm-04:25 pm,MDHAR 212
ARCH,406,Design and Construction 4.,TR,10:35 am-11:25 am,MDHAR 207
ARCH,406,Design and Construction 4.,TR,04:35 pm-05:25 pm,MDHAR 212
ARCH,406,Design and Construction 4.,TR,10:05 am-12:25 pm,MDHAR 312
ARCH,406,Design and Construction 4.,TR,01:35 pm-03:25 pm,MDHAR 312
ARCH,406,Design and Construction 4.,TR,04:35 pm-04:55 pm,MDHAR 312
ARCH,406,Design and Construction 4.,TR,09:05 am-10:25 am,MDHAR 312
ARCH,406,Design and Construction 4.,TR,11:35 am-12:25 pm,MDHAR 312
ARCH,406,Design and Construction 4.,TR,02:35 pm-03:55 pm,MDHAR 312
ARCH,406,Design and Construction 4.,TR,10:05 am-12:25 pm,MDHAR 314
ARCH,406,Design and Construction 4.,TR,02:05 pm-04:25 pm,MDHAR 314
ARCH,406,Design and Construction 4.,TR,02:35 pm-03:25 pm,MDHAR 206
ARCH,406,Design and Construction 4.,TR,10:05 am-12:25 pm,MDHAR 314
ARCH,406,Design and Construction 4.,TR,01:35 pm-02:25 pm,MDHAR 314
ARCH,406,Design and Construction 4.,TR,03:35 pm-04:55 pm,MDHAR 314
ARCH,445,Architectural Structures 2.,F,11:35 am-02:25 pm,ENGTR 0100
ARCH,451,Building Regulations and Safety.,F,08:35 am-11:25 am,MDHAR 212
ARCH,451,Building Regulations and Safety.,F,08:35 am-11:25 am,MDHAR 212
ARCH,528,History of Housing.,F,02:35 pm-04:25 pm,ENGTR 1100
ARCH,528,History of Housing.,F,02:35 pm-04:25 pm,ENGTR 1100
ARCH,528,History of Housing.,F,02:35 pm-04:25 pm,ENGTR 1100
ARCH,536,Heritage Conservation.,W,08:35 am-11:25 am,MDHAR 420
ARCH,536,Heritage Conservation.,W,08:35 am-11:25 am,MDHAR 420
ARCH,536,Heritage Conservation.,W,08:35 am-11:25 am,MDHAR 420
ARCH,540,Selected Topics in Architecture 1.,W,11:35 am-01:25 pm,MDHAR 207
ARCH,541,Selected Topics in Architecture 2.,W,02:35 pm-05:25 pm,MDHAR 212
ARCH,543,Selected Topics in Architecture 4.,F,11:35 am-02:25 pm,MDHAR 207
ARCH,551,Urban Design and Planning.,W,11:35 am-02:25 pm,ENGMD 280
ARCH,641,Energy and Environments 1.,M,02:35 pm-05:25 pm,MDHAR 207
ARCH,641,Energy and Environments 1.,M,11:35 am-02:25 pm,MDHAR 207
ARCH,642,Energy and Environments 2.,M,08:35 am-11:25 am,MDHAR G-01
ARCH,673,Architectural Design Studio 2.,TR,09:05 am-12:25 pm,MDHAR 514
ARCH,673,Architectural Design Studio 2.,TR,02:05 pm-04:55 pm,MDHAR 514
ARCH,673,Architectural Design Studio 2.,TR,09:05 am-12:25 pm,MDHAR 514
ARCH,673,Architectural Design Studio 2.,TR,02:05 pm-04:55 pm,MDHAR 514
ARCH,673,Architectural Design Studio 2.,TR,09:05 am-12:25 pm,MDHAR 514
ARCH,673,Architectural Design Studio 2.,TR,02:05 pm-04:55 pm,MDHAR 514
ARCH,674,Professional Practice 1.,F,02:35 pm-05:25 pm,MDHAR 212
ARCH,674,Professional Practice 1.,F,02:35 pm-05:25 pm,MDHAR 212
ARCH,683,Directed Research Project.,TR,09:35 am-12:25 pm,MDHAR 500
ARCH,683,Directed Research Project.,TR,02:05 pm-04:55 pm,MDHAR 500
ARCH,685,Contemporary Theory 2.,W,02:35 pm-05:25 pm,MDHAR 207
ARTH,202,Introduction to Contemporary Art.,TR,01:05 pm-02:25 pm,ARTS W-215
ARTH,207,Introduction Early Modern Art 1400-1700.,WF,02:35 pm-03:55 pm,ARTS W-215
ARTH,305,Methods in Art History.,WF,04:05 pm-05:25 pm,ARTS W-215
ARTH,310,Postcolonialism.,WF,11:35 am-12:55 pm,ARTS W-215
ARTH,325,Visual Culture Renaissance Venice.,TR,04:05 pm-05:25 pm,ENGTR 0100
ARTH,353,Selected Topics in Art History 1.,MW,10:05 am-11:25 am,ARTS W-215
ARTH,360,Studies in the Photographic.,MW,08:35 am-09:55 am,ARTS W-215
ARTH,420,Selected Topics in Art and Architecture 1.,T,08:35 am-11:25 am,ARTS W-5
ARTH,421,Selected Topics in Art and Architecture 2.,M,11:35 am-02:25 pm,ARTS W-220
ARTH,422,Selected Topics in Art and Architecture 3.,W,02:35 pm-05:25 pm,ARTS W-5
ARTH,474,Studies in Later 18th and 19th Century Art 03.,T,11:35 am-02:25 pm,ARTS W-220
ARTH,618,Art History - 1400-1900 1.,T,08:35 am-11:25 am,ARTS W-220
ARTH,647,Topics: Renaissance Art and Architecture 1.,F,11:35 am-02:25 pm,ARTS W-220
ARTH,725,Methods in Art History 1.,T,11:35 am-02:25 pm,FERR 230
ASPL,614,Airline Business and Law.,R,08:35 am-11:25 am,CDH 203
ASPL,614,Airline Business and Law.,R,08:35 am-11:25 am,CDH 203
ASPL,632,Comparative Air Law.,T,08:35 am-11:25 am,CDH 102
ASPL,632,Comparative Air Law.,T,08:35 am-11:25 am,CDH 102
ASPL,638,Law of Space Applications.,M,10:05 am-12:55 pm,CDH 202
ASPL,638,Law of Space Applications.,M,10:05 am-12:55 pm,CDH 202
ATOC,100,Extreme-Weather and Climate-Change Physics.,TR,01:05 pm-02:25 pm,BURN 934
ATOC,181,Introduction to Atmospheric Science.,TR,10:05 am-11:25 am,LEA 232
ATOC,184,Science of Storms.,TR,08:35 am-09:55 am,STBIO S1/4
ATOC,215,"Oceans, Weather and Climate.",MR,02:35 pm-03:55 pm,BURN 934
ATOC,215,"Oceans, Weather and Climate.",MR,02:35 pm-03:55 pm,BURN 708A
ATOC,215,"Oceans, Weather and Climate.",R,02:35 pm-03:55 pm,BURN 920
ATOC,219,Introduction to Atmospheric Chemistry.,MWF,09:35 am-10:25 am,ENGTR 1080
ATOC,309,Weather Radars and Satellites.,MWF,01:35 pm-02:25 pm,BURN 708
ATOC,357,Atmospheric and Oceanic Science Laboratory.,T,11:35 am-02:25 pm,BURN 719A
ATOC,357,Atmospheric and Oceanic Science Laboratory.,T,11:35 am-02:25 pm,BURN 719A
ATOC,513,Waves and Stability.,TR,08:35 am-09:55 am,BURN 934
ATOC,521,Cloud Physics.,TR,11:35 am-12:55 pm,BURN 934
ATOC,558,Numerical Methods and Laboratory.,MW,12:35 pm-01:55 pm,BURN 719A
ATOC,568,Ocean Physics.,TR,10:05 am-11:25 am,BURN 934
ATOC,568,Ocean Physics.,R,10:05 am-11:25 am,BURN 708A
ATOC,751D2,Seminar: Physical Meteorology.,W,02:35 pm-03:25 pm,BURN 934
